country,improvement,region,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018
Malawi,-19.72,Africa,0.271,0.264,0.27,0.27399999999999997,0.273,0.261,0.245,0.23199999999999998,0.223,0.22,0.218,0.213,0.203,0.19,0.18100000000000002,0.177,0.177,0.175
Nicaragua,-18.66,South/Latin America,0.326,0.293,0.27399999999999997,0.262,0.254,0.244,0.23399999999999999,0.226,0.221,0.21600000000000003,0.209,0.2,0.19,0.179,0.172,0.16899999999999998,0.16899999999999998,0.17
"China, Macao SAR",-18.25,Asia & Pacific,0.226,0.21899999999999997,0.20199999999999999,0.18100000000000002,0.16,0.146,0.14,0.138,0.14,0.14,0.13699999999999998,0.132,0.126,0.122,0.11900000000000001,0.11599999999999999,0.114,0.11199999999999999
Fiji,-17.78,Asia & Pacific,0.048,0.047,0.046,0.045,0.044000000000000004,0.043,0.042,0.043,0.043,0.045,0.045,0.045,0.044000000000000004,0.042,0.04,0.038,0.037000000000000005,0.037000000000000005
Cabo Verde,-17.65,Africa,0.179,0.179,0.175,0.163,0.149,0.14,0.139,0.14,0.145,0.149,0.153,0.151,0.147,0.142,0.136,0.13,0.127,0.126
India,-17.14,Asia & Pacific,0.182,0.19399999999999998,0.21,0.222,0.228,0.222,0.207,0.192,0.18100000000000002,0.177,0.175,0.175,0.17300000000000001,0.16899999999999998,0.163,0.155,0.149,0.145
Albania,-16.22,Europe,0.07200000000000001,0.078,0.087,0.09699999999999999,0.106,0.109,0.10800000000000001,0.10300000000000001,0.095,0.084,0.07400000000000001,0.066,0.06,0.057999999999999996,0.059000000000000004,0.06,0.061,0.062
Solomon Islands,-16.04,Asia & Pacific,0.15,0.145,0.136,0.129,0.12300000000000001,0.11900000000000001,0.114,0.11199999999999999,0.109,0.107,0.106,0.111,0.121,0.128,0.127,0.114,0.1,0.08900000000000001
Iran (Islamic Republic of),-15.52,Middle east,0.049,0.054000000000000006,0.057,0.057999999999999996,0.059000000000000004,0.061,0.064,0.065,0.064,0.061,0.057999999999999996,0.057,0.055999999999999994,0.054000000000000006,0.052000000000000005,0.051,0.05,0.049
Djibouti,-15.25,Arab States,0.48100000000000004,0.45399999999999996,0.42700000000000005,0.39799999999999996,0.36200000000000004,0.322,0.28600000000000003,0.256,0.239,0.22899999999999998,0.223,0.213,0.20199999999999999,0.193,0.19,0.19,0.19,0.18899999999999997
